Date,Open,High,Low,Close,Volume,change_tomorrow,change_tomorrow_direction
2021-03-26,13.01952838897705,14.804293632507324,12.370457649230955,14.779420852661133,149987319,0.10472905328236537,UP
2021-03-27,14.786246299743652,16.80416488647461,14.75804615020752,16.50832176208496,223872587,0.08369738806937976,UP
2021-03-28,16.47942352294922,19.386005401611328,16.345008850097656,18.016233444213867,426120062,0.0444754105823264,UP
2021-03-29,18.08330345153809,18.987842559814453,17.700363159179688,18.854808807373047,216748601,0.01971080062942554,UP
2021-03-30,18.891403198242188,20.869474411010746,18.891403198242188,19.233924865722656,264028427,0.011882941027414384,UP
2021-03-31,19.1016845703125,19.795801162719727,18.1562557220459,19.465229034423828,206011018,-0.019928172988466386,DOWN
2021-04-01,19.415681838989254,20.36153984069824,18.84424591064453,19.084901809692383,173731886,0.03661346112778607,UP
2021-04-02,19.084630966186523,19.824573516845703,18.568418502807617,19.810222625732425,131061660,0.12158657118538319,UP
2021-04-03,19.79645156860352,23.82718849182129,19.78944969177246,22.552276611328125,483057740,0.06271669035659988,UP
2021-04-04,22.52737045288086,25.56953239440918,22.212968826293945,24.061323165893555,426557980,-0.04685983450817832,DOWN
2021-04-05,23.9288387298584,24.777637481689453,22.80645179748535,22.984283447265625,264085329,0.07904999506294819,UP
2021-04-06,22.977840423583984,25.346525192260746,21.87661361694336,24.95714569091797,320886935,0.0574412878706021,UP
2021-04-07,25.14555931091309,27.48761558532715,23.089359283447266,26.47808074951172,676846221,0.020563237484914842,UP
2021-04-08,26.51459312438965,27.97001075744629,25.72493553161621,27.03398704528809,377988327,0.026793870507564543,UP
2021-04-09,26.985803604125977,29.01473426818848,26.90382575988769,27.77827453613281,282477938,-0.03490393335259512,DOWN
2021-04-10,27.64971160888672,28.257970809936523,25.96322631835937,26.84140396118164,270235258,0.03904091371726515,UP
2021-04-11,26.80805015563965,28.687227249145508,25.578319549560547,27.9318904876709,232938762,0.020350382819379953,UP
2021-04-12,27.918367385864254,29.862302780151367,26.842742919921875,28.51212310791016,308804546,-0.039239979113093515,DOWN
2021-04-13,28.54101181030273,28.797941207885746,26.4176025390625,27.4355525970459,258183912,-0.036277150606714326,DOWN
2021-04-14,27.40000534057617,27.48269271850586,24.79202079772949,26.47511100769043,342565805,0.048284831723530264,UP
2021-04-15,26.436843872070312,28.249399185180664,25.53941535949707,27.81831359863281,221346739,-0.0953228011734264,DOWN
2021-04-16,27.8203239440918,28.226879119873047,24.97291755676269,25.39736557006836,240665351,-0.011852293271440661,DOWN
2021-04-17,25.36920547485352,26.819766998291016,25.09987449645996,25.09987449645996,201720376,0.22298428581145813,UP
2021-04-18,25.135501861572266,32.90256881713867,21.539209365844727,32.30291748046875,1155150688,-0.01979491900304997,DOWN
2021-04-19,32.33952331542969,36.08025741577149,29.92590713500977,31.67589569091797,1219130981,0.00296373978501574,UP
2021-04-20,31.476289749145508,32.69721984863281,28.93257141113281,31.77005386352539,793008154,0.022852016619776427,UP
2021-04-21,31.681537628173828,35.004302978515625,30.1674919128418,32.51304244995117,729130141,0.16375405019732936,UP
2021-04-22,32.68342971801758,40.97186279296875,31.600690841674805,38.8797607421875,1638622971,-0.05141756925730201,DOWN
2021-04-23,38.8991813659668,41.463260650634766,31.664270401000977,36.97842025756836,1612232268,0.09227156403434278,UP
2021-04-24,37.25749588012695,43.532222747802734,34.683292388916016,40.7373161315918,1101380795,0.13997556119811494,UP
2021-04-25,40.8454704284668,48.43426513671875,40.51201629638672,47.36762619018555,1583800800,-0.07711182511029491,DOWN
2021-04-26,47.54185485839844,48.31078338623047,43.371726989746094,43.97651672363281,1357487872,-0.017056695526052712,DOWN
2021-04-27,43.89356994628906,46.54861068725586,42.55732727050781,43.2390022277832,904891996,0.03540318698294753,UP
2021-04-28,43.16144180297852,46.91656494140625,40.67207336425781,44.825984954833984,1021154320,-0.055709233570058414,DOWN
2021-04-29,44.84994888305664,46.07149124145508,40.950984954833984,42.460540771484375,772259307,0.011534139479238203,UP
2021-04-30,42.50004577636719,44.2701530456543,41.24350357055664,42.95600128173828,534976437,0.13234261279522608,UP
2021-05-01,42.89333724975586,49.84457778930664,42.03086471557617,49.50802230834961,859524423,-0.05581104296215367,DOWN
2021-05-02,49.50080490112305,49.896671295166016,45.9818229675293,46.89098739624024,571072187,-0.020840875122423164,DOWN
2021-05-03,46.90397644042969,49.00945281982422,45.04447555541992,45.93368911743164,609194252,-0.07498631631676211,DOWN
2021-05-04,45.983360290527344,47.75715637207031,42.31310272216797,42.72955703735352,682976428,0.0488389281452144,UP
2021-05-05,42.637237548828125,45.92779159545898,42.31573486328125,44.92357635498047,503781975,-0.03377923030431518,DOWN
2021-05-06,44.97405242919922,44.97405242919922,42.591583251953125,43.4556770324707,391497018,-0.006966957601851842,DOWN
2021-05-07,43.50265502929688,46.05956268310547,41.43837356567383,43.1550178527832,514344601,0.05281897157007365,UP
2021-05-08,43.15206527709961,46.6390266418457,42.29801940917969,45.56153106689453,451056655,-0.027776432021802133,DOWN
2021-05-09,45.61763000488281,47.1212158203125,43.29694366455078,44.330196380615234,510603312,-0.033105916405054,DOWN
2021-05-10,44.34209442138672,45.87750244140625,39.5588493347168,42.90963363647461,499528076,0.03741430991477113,UP
2021-05-11,42.87227249145508,45.15120315551758,39.762969970703125,44.57746887207031,473731333,-0.04993625745501151,DOWN
2021-05-12,44.59152603149414,48.979034423828125,42.45730972290039,42.45730972290039,1151668076,-0.03559838661488457,DOWN
2021-05-13,43.235084533691406,45.41709899902344,37.526893615722656,40.99785232543945,1016860656,0.04026448103593494,UP
2021-05-14,41.03451919555664,44.79143524169922,39.98605346679688,42.717864990234375,504167711,0.017105848344803887,UP
2021-05-15,42.69994735717773,45.391788482666016,39.37460708618164,43.461307525634766,500445722,0.07922574965971396,UP
2021-05-16,43.40169143676758,52.50135040283203,41.91549682617188,47.200828552246094,1990976771,-0.007204449557131509,DOWN
2021-05-17,46.89802169799805,51.87602996826172,43.30291748046875,46.86320495605469,1951921366,0.16182437233752733,UP
2021-05-18,46.66041946411133,58.30292510986328,46.18755722045898,55.91096115112305,2025388219,-0.5925790303893119,DOWN
2021-05-19,56.08925628662109,57.52577209472656,29.429859161376957,35.107181549072266,2772224999,0.2153548247712963,UP
2021-05-20,35.04304504394531,51.25844955444336,32.31814193725586,44.74274826049805,2487748626,-0.1527818019774032,DOWN
2021-05-21,44.4472541809082,47.64559173583984,33.83739471435547,38.81285095214844,1769762028,-0.2394101636312076,DOWN
2021-05-22,38.988380432128906,40.009578704833984,31.25486183166504,31.315582275390625,1078751751,-0.2684151917635442,DOWN
2021-05-23,31.22576713562012,32.4362678527832,19.13983917236328,24.68874740600586,1925832341,0.21080789613160322,UP
2021-05-24,24.49831962585449,32.094451904296875,24.49831962585449,31.283571243286133,1346786023,-0.04288728735124092,DOWN
2021-05-25,31.39634704589844,33.130126953125,26.100074768066406,29.99707794189453,909470305,0.15595858982133948,UP
